nama_makanan,kategori,kalori,protein,lemak,karbo,harga
Tahu Curah,Protein,383,18.3,7.1,38.3,41337
Pepaya Merah,Buah,92,2.0,1.3,22.9,52038
Teh Organik,Lainnya,20,6.7,2.2,28.0,32525
Melon Manis,Buah,85,1.8,1.2,20.9,42135
Mentimun Merah,Lainnya,33,2.2,0.9,7.6,8758
Beras Putih,Karbohidrat,378,9.0,1.4,76.3,21766
Ikan Tongkol Tinggi Protein,Protein,241,17.2,12.7,1.1,53519
Sawi Import,Lainnya,56,4.8,0.9,5.1,37473
Wortel Super,Sayur,41,3.8,1.0,4.3,31066
Brokoli Putih,Sayur,15,2.7,0.0,7.2,21517
Ikan Tongkol Curah,Protein,167,25.3,2.4,1.2,98570
Jus Hitam,Lainnya,107,0.5,2.6,24.5,25552
Almond Lokal,Lainnya,579,25.9,41.4,33.0,83529
Ikan Tuna Tinggi Protein,Protein,215,21.8,5.8,1.7,34968
Kacang Hijau Tinggi Protein,Lainnya,437,26.2,29.9,47.6,57656
Daging Kerbau Beku,Protein,287,22.1,9.8,2.4,111526
Daging Kerbau Pilihan,Protein,278,23.0,11.0,3.5,81959
Almond Curah,Lainnya,511,15.4,14.7,13.3,83459
Jeruk Curah,Lainnya,67,0.8,1.9,25.8,26229
Ikan Bandeng Beku,Protein,152,22.0,7.7,1.0,103252
Kangkung Lokal,Sayur,32,1.1,0.6,9.3,5771
Tomat Hitam,Lainnya,58,2.5,0.0,5.9,36249
Kacang Tanah Beku,Lainnya,304,28.1,11.6,38.9,61778
Melon Manis,Buah,68,0.8,1.5,16.7,57320
Daging Sapi Import,Protein,260,26.2,20.6,1.0,125953
Daging Kerbau Kemasan,Protein,296,26.4,16.4,2.1,92427
Nugget Hitam,Lainnya,139,19.0,11.2,55.9,65302
Kangkung Tinggi Protein,Sayur,22,4.2,0.5,7.3,13831
Susu Asin,Lainnya,127,7.2,4.8,13.6,25139
Jus Organik,Lainnya,74,7.6,3.6,29.6,11316
Daging Kerbau Manis,Protein,188,29.4,22.4,4.4,89877
Beras Pedas,Karbohidrat,357,7.4,2.9,78.9,15857
Kacang Hijau Pilihan,Lainnya,557,26.9,13.0,21.9,71298
